gene ID,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Orth_group
TraesCS5B03G1052800,7.19E-122,0.464641682,0.82,0.517,5.16E-117,0,TraesCS5B03G1052800,ORTHO905GF000722
TraesCS1B03G0069700,6.70E-94,0.411754259,0.882,0.633,4.81E-89,0,TraesCS1B03G0069700,ORTHO905GF000034
TraesCS2B03G1501600,8.41E-91,0.405176461,0.842,0.602,6.04E-86,0,TraesCS2B03G1501600,ORTHO905GF016080
TraesCS5A03G0948700,1.48E-76,0.344475262,0.736,0.485,1.06E-71,0,TraesCS5A03G0948700,ORTHO905GF000080
TraesCS5A03G1006700,2.42E-76,0.434619499,0.547,0.348,1.74E-71,0,TraesCS5A03G1006700,ORTHO905GF000722
TraesCS3B03G0498100,3.85E-71,0.255810493,0.988,0.876,2.77E-66,0,TraesCS3B03G0498100,ORTHO905GF014735
TraesCS4B03G0489300,3.71E-69,0.295848679,0.886,0.688,2.67E-64,0,TraesCS4B03G0489300,ORTHO905GF000568
TraesCS3D03G0146400,5.04E-61,0.294605585,0.879,0.673,3.62E-56,0,TraesCS3D03G0146400,ORTHO905GF006454
TraesCS5B03G1052600,6.53E-60,0.35216766,0.39,0.207,4.69E-55,0,TraesCS5B03G1052600,ORTHO905GF000722
TraesCS1B03G0841700,2.64E-59,0.323918775,0.425,0.234,1.89E-54,0,TraesCS1B03G0841700,ORTHO905GF008464
TraesCS3D03G0061500,1.19E-58,0.366072726,0.599,0.384,8.55E-54,0,TraesCS3D03G0061500,ORTHO905GF001079
TraesCS1B03G0768600,3.83E-58,0.286356523,0.815,0.573,2.75E-53,0,TraesCS1B03G0768600,ORTHO905GF001652
TraesCS2A03G0313900,4.50E-57,0.277832342,0.714,0.485,3.23E-52,0,TraesCS2A03G0313900,ORTHO905GF000213
TraesCS1D03G0703900,1.34E-56,0.340499296,0.394,0.212,9.61E-52,0,TraesCS1D03G0703900,ORTHO905GF008464
TraesCS4B03G0939900,1.96E-55,0.266914707,0.753,0.519,1.41E-50,0,TraesCS4B03G0939900,ORTHO905GF000614
TraesCS3A03G0812200,9.72E-55,0.278936678,0.672,0.463,6.98E-50,0,TraesCS3A03G0812200,ORTHO905GF006448
TraesCS3B03G0087700,9.32E-54,0.309641132,0.637,0.422,6.69E-49,0,TraesCS3B03G0087700,ORTHO905GF001079
TraesCS4D03G0668900,1.37E-52,0.272047115,0.332,0.16,9.88E-48,0,TraesCS4D03G0668900,ORTHO905GF018638
TraesCS2D03G0859100LC,1.45E-52,0.319322651,0.358,0.179,1.04E-47,0,TraesCS2D03G0859100LC,#N/A
TraesCS2B03G1500200,2.00E-52,0.265937028,0.941,0.796,1.44E-47,0,TraesCS2B03G1500200,ORTHO905GF016080
