gene ID,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Orth_group
Zm00001eb429540,0,1.540819561,0.976,0.292,0,0,Zm00001eb429540,ORTHO905GF000160
Zm00001eb391690,0,1.540774772,0.99,0.517,0,0,Zm00001eb391690,ORTHO905GF000237
Zm00001eb023070,0,1.482263283,0.971,0.264,0,0,Zm00001eb023070,ORTHO905GF000160
Zm00001eb391630,0,1.382124697,0.915,0.276,0,0,Zm00001eb391630,ORTHO905GF000237
Zm00001eb249760,0,1.381547256,0.744,0.083,0,0,Zm00001eb249760,ORTHO905GF000160
Zm00001eb429530,0,1.330371607,0.774,0.089,0,0,Zm00001eb429530,ORTHO905GF000160
Zm00001eb316920,0,1.303822624,0.915,0.207,0,0,Zm00001eb316920,ORTHO905GF004018
Zm00001eb391620,0,1.129360538,0.76,0.116,0,0,Zm00001eb391620,ORTHO905GF000237
Zm00001eb160820,0,1.004978961,0.861,0.196,0,0,Zm00001eb160820,ORTHO905GF001682
Zm00001eb299050,0,1.004098335,0.833,0.397,0,0,Zm00001eb299050,ORTHO905GF070574
Zm00001eb163830,0,0.942937728,0.794,0.205,0,0,Zm00001eb163830,ORTHO905GF014015
Zm00001eb330540,0,0.937844691,0.598,0.167,0,0,Zm00001eb330540,ORTHO905GF013950
Zm00001eb236430,0,0.897830777,0.875,0.3,0,0,Zm00001eb236430,ORTHO905GF000154
Zm00001eb364940,0,0.882148438,0.727,0.176,0,0,Zm00001eb364940,ORTHO905GF030021
Zm00001eb052540,0,0.877050273,0.776,0.212,0,0,Zm00001eb052540,ORTHO905GF000146
Zm00001eb186570,0,0.851826244,0.963,0.688,0,0,Zm00001eb186570,ORTHO905GF001253
Zm00001eb060190,0,0.850802837,0.687,0.195,0,0,Zm00001eb060190,ORTHO905GF029567
Zm00001eb303190,0,0.844430243,0.592,0.099,0,0,Zm00001eb303190,ORTHO905GF006071
#N/A,0,0.832128968,0.885,0.342,0,0,#N/A,#N/A
Zm00001eb371800,0,0.830083786,0.666,0.184,0,0,Zm00001eb371800,ORTHO905GF000076
Zm00001eb271090,0,0.828896382,0.893,0.525,0,0,Zm00001eb271090,ORTHO905GF003429
Zm00001eb025690,0,0.820856553,0.498,0.068,0,0,Zm00001eb025690,ORTHO905GF001240
Zm00001eb429750,0,0.820305349,0.825,0.401,0,0,Zm00001eb429750,ORTHO905GF001253
Zm00001eb133810,0,0.819717645,0.986,0.588,0,0,Zm00001eb133810,ORTHO905GF014996
Zm00001eb144960,0,0.81960055,0.951,0.641,0,0,Zm00001eb144960,ORTHO905GF000154
Zm00001eb318570,0,0.817569959,0.706,0.265,0,0,Zm00001eb318570,ORTHO905GF000070
Zm00001eb054510,0,0.8028928,0.687,0.095,0,0,Zm00001eb054510,ORTHO905GF008137
Zm00001eb144930,0,0.793709765,0.926,0.574,0,0,Zm00001eb144930,ORTHO905GF000154
Zm00001eb391670,0,0.789371631,0.58,0.097,0,0,Zm00001eb391670,ORTHO905GF000237
Zm00001eb352190,0,0.788623906,0.622,0.137,0,0,Zm00001eb352190,ORTHO905GF013326
Zm00001eb249590,0,0.786627855,0.519,0.101,0,0,Zm00001eb249590,ORTHO905GF000251
Zm00001eb074210,0,0.775554762,0.972,0.67,0,0,Zm00001eb074210,ORTHO905GF000465
Zm00001eb283120,0,0.758915332,0.639,0.201,0,0,Zm00001eb283120,ORTHO905GF068409
Zm00001eb306400,0,0.757128913,0.872,0.46,0,0,Zm00001eb306400,ORTHO905GF000222
Zm00001eb158210,0,0.747696473,0.676,0.138,0,0,Zm00001eb158210,ORTHO905GF000256
Zm00001eb165790,0,0.745656182,0.468,0.1,0,0,Zm00001eb165790,ORTHO905GF000515
Zm00001eb191590,0,0.741249997,0.554,0.108,0,0,Zm00001eb191590,ORTHO905GF000010
Zm00001eb149460,0,0.730591584,0.791,0.448,0,0,Zm00001eb149460,ORTHO905GF000443
Zm00001eb037520,0,0.720675439,0.794,0.339,0,0,Zm00001eb037520,ORTHO905GF006070
#N/A,0,0.714217836,0.628,0.209,0,0,#N/A,#N/A
Zm00001eb287770,0,0.714208026,0.463,0.068,0,0,Zm00001eb287770,ORTHO905GF006215
Zm00001eb330530,0,0.713624191,0.477,0.074,0,0,Zm00001eb330530,ORTHO905GF001187
Zm00001eb247760,0,0.708704111,0.489,0.08,0,0,Zm00001eb247760,ORTHO905GF000222
