gene ID,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Orth_group
Os01g0750300,0,1.251178108,0.992,0.267,0,0,Os01g0750300,ORTHO905GF009555
Os10g0467800,0,1.205110247,0.976,0.207,0,0,Os10g0467800,ORTHO905GF010246
Os07g0636800,0,1.168350203,0.98,0.363,0,0,Os07g0636800,ORTHO905GF000638
Os09g0422500,0,1.124710214,0.947,0.159,0,0,Os09g0422500,ORTHO905GF009586
Os06g0589500,0,0.999116469,0.96,0.284,0,0,Os06g0589500,ORTHO905GF007743
Os01g0110200,0,0.926140854,0.784,0.112,0,0,Os01g0110200,ORTHO905GF018675
Os01g0249200,0,0.918228792,0.852,0.29,0,0,Os01g0249200,ORTHO905GF000545
Os11g0167800,0,0.840719511,0.988,0.702,0,0,Os11g0167800,ORTHO905GF014690
Os02g0718600,5.63E-193,0.722010403,0.615,0.451,1.44E-188,0,Os02g0718600,ORTHO905GF027473
Os01g0291500,0,0.717893939,0.983,0.62,0,0,Os01g0291500,ORTHO905GF000332
Os05g0134400,0,0.696181704,0.993,0.684,0,0,Os05g0134400,ORTHO905GF014655
Os03g0806800,0,0.689361673,0.896,0.411,0,0,Os03g0806800,ORTHO905GF002242
Os04g0243700,0,0.676196781,0.713,0.12,0,0,Os04g0243700,ORTHO905GF003956
Os09g0307300,0,0.674798212,0.654,0.114,0,0,Os09g0307300,ORTHO905GF006785
Os08g0489300,0,0.625144887,0.531,0.079,0,0,Os08g0489300,ORTHO905GF007214
Os01g0672100,0,0.623736494,0.653,0.091,0,0,Os01g0672100,ORTHO905GF047184
Os03g0401300,0,0.591106991,0.681,0.362,0,0,Os03g0401300,ORTHO905GF000776
Os05g0135500,0,0.583832427,0.438,0.075,0,0,Os05g0135500,ORTHO905GF020484
Os04g0404800,0,0.577764343,0.852,0.406,0,0,Os04g0404800,ORTHO905GF005180
Os06g0194900,0,0.577336038,0.985,0.719,0,0,Os06g0194900,ORTHO905GF000776
Os02g0187800,0,0.574548959,0.985,0.647,0,0,Os02g0187800,ORTHO905GF007256
Os05g0578100,0,0.544951289,0.827,0.443,0,0,Os05g0578100,ORTHO905GF000885
None,0,0.536150089,0.495,0.097,0,0,None,#N/A
Os03g0845000,0,0.525514934,0.926,0.6,0,0,Os03g0845000,ORTHO905GF001194
Os01g0645000,0,0.521710687,0.599,0.145,0,0,Os01g0645000,ORTHO905GF002321
#N/A,0,0.520456258,0.952,0.631,0,0,#N/A,#N/A
Os04g0408600,0,0.510371436,0.534,0.078,0,0,Os04g0408600,ORTHO905GF002577
Os10g0554900,0,0.50533917,0.317,0.06,0,0,Os10g0554900,ORTHO905GF010646
Os01g0930500,2.06E-291,0.504336293,0.581,0.249,5.27E-287,0,Os01g0930500,ORTHO905GF014311
Os11g0505300,1.74E-237,0.504038799,0.842,0.526,4.43E-233,0,Os11g0505300,ORTHO905GF000269
Os03g0103100,0,1.035233601,0.635,0.152,0,1,Os03g0103100,ORTHO905GF000237
Os04g0659300,0,0.908506504,0.834,0.396,0,1,Os04g0659300,ORTHO905GF010383
Os03g0663400,0,0.907935711,0.734,0.343,0,1,Os03g0663400,ORTHO905GF022897
Os01g0214500,0,0.896088273,0.852,0.352,0,1,Os01g0214500,ORTHO905GF008320
Os03g0836800,0,0.82758343,0.824,0.311,0,1,Os03g0836800,ORTHO905GF000665
#N/A,0,0.765004004,0.434,0.085,0,1,#N/A,#N/A
Os11g0702100,0,0.7471935,0.786,0.323,0,1,Os11g0702100,ORTHO905GF016762
Os10g0330000,0,0.724290898,0.497,0.145,0,1,Os10g0330000,ORTHO905GF004875
Os10g0491000,0,0.724046808,0.649,0.196,0,1,Os10g0491000,ORTHO905GF001270
Os10g0552600,0,0.723045719,0.919,0.653,0,1,Os10g0552600,ORTHO905GF000160
None,0,0.716870595,0.791,0.307,0,1,None,#N/A
Os12g0548401,0,0.676743646,0.899,0.543,0,1,Os12g0548401,ORTHO905GF000034
Os12g0555000,9.28E-306,0.664934006,0.694,0.353,2.37E-301,1,Os12g0555000,ORTHO905GF012362
Os02g0129700,0,0.652315222,0.777,0.441,0,1,Os02g0129700,ORTHO905GF051521
Os01g0314800,0,0.652038924,0.969,0.713,0,1,Os01g0314800,ORTHO905GF003121
Os01g0704901,0,0.637679569,0.774,0.3,0,1,Os01g0704901,#N/A
Os04g0450000,0,0.633142672,0.811,0.392,0,1,Os04g0450000,ORTHO905GF014723
