gene ID,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Orth_group
AT2G18800,0,1.623266399,0.943,0.338,0,0,XTH21,ORTHO905GF000119
AT3G26610,0,1.481494342,0.931,0.181,0,0,AT3G26610,ORTHO905GF013662
AT5G47450,9.00E-306,1.374847477,0.86,0.36,2.03E-301,0,TIP2-3,ORTHO905GF001253
AT1G48750,2.91E-294,1.340641804,0.601,0.111,6.57E-290,0,AT1G48750,ORTHO905GF001184
AT3G45700,0,1.340308109,0.904,0.254,0,0,NPF2.4,ORTHO905GF000432
AT1G44800,8.02E-288,1.247481845,0.682,0.162,1.81E-283,0,AT1G44800,ORTHO905GF000116
AT4G18510,0,1.237632501,0.912,0.296,0,0,CLE2,ORTHO905GF037399
AT4G39675,7.71E-150,1.225324094,0.58,0.236,1.74E-145,0,AT4G39675,ORTHO905GF036210
AT5G46730,0,1.220133318,0.863,0.124,0,0,AT5G46730,ORTHO905GF036603
AT4G30460,6.16E-297,1.213502705,0.579,0.095,1.39E-292,0,AT4G30460,ORTHO905GF037460
AT1G78090,0,1.198004171,0.889,0.148,0,0,TPPB,ORTHO905GF025498
AT3G48520,0,1.196041238,0.817,0.241,0,0,CYP94B3,ORTHO905GF003745
AT1G23760,0,1.190374449,0.969,0.287,0,0,PGL1.1,ORTHO905GF000741
AT1G51680,1.19E-277,1.182693232,0.837,0.329,2.67E-273,0,4CL1,ORTHO905GF000879
AT4G34600,0,1.158782128,0.902,0.265,0,0,CIF2,ORTHO905GF038616
AT5G43180,0,1.157065955,0.609,0.08,0,0,AT5G43180,ORTHO905GF020073
AT4G29100,0,1.155631037,0.975,0.307,0,0,BHLH68,ORTHO905GF001582
AT3G25717,0,1.149146808,0.859,0.141,0,0,RTFL16,ORTHO905GF000494
AT3G23800,0,1.148019233,0.924,0.327,0,0,SBP3,ORTHO905GF007218
AT4G20210,0,1.14698077,0.768,0.125,0,0,TPS08,ORTHO905GF003111
AT3G25930,0,1.144974603,0.954,0.416,0,0,AT3G25930,ORTHO905GF037171
AT1G02460,0,1.144286877,0.677,0.032,0,0,AT1G02460,ORTHO905GF001241
AT1G27030,0,1.140502879,0.792,0.146,0,0,AT1G27030,ORTHO905GF025663
AT5G40450,0,1.139311577,0.971,0.37,0,0,AT5G40450,ORTHO905GF036697
AT2G02130,0,1.126761675,0.999,0.888,0,0,PDF2.3,ORTHO905GF001372
AT2G44300,2.41E-294,1.125335246,0.932,0.359,5.42E-290,0,AT2G44300,ORTHO905GF001138
AT2G36120,2.15E-302,1.118200389,0.59,0.101,4.85E-298,0,DOT1,ORTHO905GF038460
AT3G18280,2.86E-237,1.114034998,0.609,0.145,6.44E-233,0,AT3G18280,ORTHO905GF001184
AT2G40900,0,1.105710146,0.81,0.14,0,0,AT2G40900,ORTHO905GF000116
AT2G37180,1.36E-296,1.10348526,0.828,0.277,3.06E-292,0,PIP2-3,ORTHO905GF000222
AT3G53980,1.81E-156,1.09789958,0.452,0.117,4.09E-152,0,AT3G53980,ORTHO905GF001469
AT3G25190,7.26E-166,1.095071085,0.471,0.122,1.64E-161,0,AT3G25190,ORTHO905GF036793
AT3G61990,0,1.092492391,0.823,0.152,0,0,OMTF3,ORTHO905GF010090
AT4G14010,0,1.080061603,0.999,0.517,0,0,RALFL32,ORTHO905GF022083
AT5G05790,0,1.06893083,0.941,0.215,0,0,AT5G05790,ORTHO905GF022080
AT4G01070,0,1.067608337,0.97,0.349,0,0,UGT72B1,ORTHO905GF000820
AT5G07322,5.65E-284,1.062001762,0.673,0.147,1.27E-279,0,AT5G07322,#N/A
AT1G23205,0,1.05608905,0.813,0.117,0,0,AT1G23205,ORTHO905GF000413
AT4G11211,0,1.055334265,0.939,0.29,0,0,AT4G11211,ORTHO905GF036786
AT2G18210,2.98E-241,1.053339845,0.894,0.515,6.71E-237,0,AT2G18210,ORTHO905GF007249
