Homeologous_ID;Gene;is_Marker_of_Cluster;Specificity;Stability;Genome Asymmetry
TraesCS1A03G0001500;TraesCS1A03G0001500;13Phloem;specific;stable;
TraesCS1A03G0001500;TraesCS6B03G0292100;NA;;;
TraesCS1A03G0001500;TraesCS7D03G0267800;NA;;;
TraesCS1A03G0016300;TraesCS1D03G0008200;13Phloem;specific;stable;
TraesCS1A03G0016300;TraesCS1A03G0016300;NA;;;
TraesCS1A03G0016300;TraesCS1B03G0015900;NA;;;
TraesCS1A03G0037100;TraesCS1B03G0038800;14RootCap;unspecific;unstable;
TraesCS1A03G0037100;TraesCS1A03G0037100;5Unknown_14RootCap_11Endodermis/Phloem;;;
TraesCS1A03G0037100;TraesCS1D03G0027600;NA;;;
TraesCS1A03G0037300;TraesCS1A03G0037300;11Endodermis/Phloem;specific;stable;
TraesCS1A03G0037300;TraesCS1B03G0038600;NA;;;
TraesCS1A03G0037300;TraesCS1D03G0027700;NA;;;
TraesCS1A03G0043600;TraesCS1A03G0043600;8RootHair_1Epidermis;specific;stable;
TraesCS1A03G0043600;TraesCS1B03G0045000;NA;;;
TraesCS1A03G0043600;TraesCS1D03G0036000;NA;;;
TraesCS1A03G0049300;TraesCS1B03G0051900;4ProvascularCells_11Endodermis/Phloem;unspecific;unstable;
TraesCS1A03G0049300;TraesCS1D03G0042100;9Endodermis_4ProvascularCells_11Endodermis/Phloem;;;
TraesCS1A03G0049300;TraesCS1A03G0049300;NA;;;
TraesCS1A03G0053300;TraesCS1A03G0053300;14RootCap;specific;stable;A_dominant_14
TraesCS1A03G0053300;TraesCS1B03G0058000;14RootCap;;;
TraesCS1A03G0053300;TraesCS1D03G0043400;14RootCap;;;
TraesCS1A03G0062800;TraesCS1A03G0062800;14RootCap_10Xylem;unspecific;stable;
TraesCS1A03G0062800;TraesCS1B03G0066500;14RootCap_10Xylem;;;
TraesCS1A03G0062800;TraesCS1D03G0049400;14RootCap_10Xylem;;;
TraesCS1A03G0090800;TraesCS1A03G0090800;3Meristems;unspecific;unstable;
TraesCS1A03G0090800;TraesCS1B03G0109700;7Epidermis_3Meristems;;;
TraesCS1A03G0090800;TraesCS1D03G0080700;7Epidermis_3Meristems;;;
TraesCS1A03G0090900;TraesCS1D03G0080800;14RootCap_10Xylem;unspecific;unstable;
TraesCS1A03G0090900;TraesCS1B03G0109800;6Pericycle_14RootCap_11Endodermis/Phloem_10Xylem;;;
